iter	Passed	Remaining
427	1631	2180
428	1634	2175
429	1637	2170
430	1640	2166
431	1643	2161
432	1647	2156
433	1650	2151
434	1653	2147
435	1656	2142
436	1659	2138
437	1662	2133
438	1665	2128
439	1668	2124
440	1672	2120
441	1675	2115
442	1678	2110
443	1682	2106
444	1685	2101
445	1688	2097
446	1691	2092
447	1694	2087
448	1697	2083
449	1700	2078
450	1703	2073
451	1706	2069
452	1709	2064
453	1712	2060
454	1716	2055
455	1719	2050
456	1722	2046
457	1725	2041
458	1728	2037
459	1731	2033
460	1734	2028
461	1737	2023
462	1741	2019
463	1744	2014
464	1747	2010
465	1750	2006
466	1753	2001
467	1756	1997
468	1760	1992
469	1763	1988
470	1766	1983
471	1769	1979
472	1772	1974
473	1775	1970
474	1779	1966
475	1782	1961
476	1785	1957
477	1788	1952
478	1791	1948
479	1794	1944
480	1797	1939
481	1800	1935
482	1803	1930
483	1807	1926
484	1810	1922
485	1813	1918
486	1816	1913
487	1819	1909
488	1822	1904
489	1825	1900
490	1829	1896
491	1832	1891
492	1835	1887
493	1838	1882
494	1841	1878
495	1844	1874
496	1847	1870
497	1850	1865
498	1853	1861
499	1857	1857
500	1860	1852
501	1863	1848
502	1866	1843
503	1869	1839
504	1873	1835
505	1876	1831
506	1879	1827
507	1882	1823
508	1885	1819
509	1888	1814
510	1891	1810
511	1895	1806
512	1898	1801
513	1901	1797
514	1904	1793
515	1907	1789
516	1910	1784
517	1913	1780
518	1916	1776
519	1919	1772
520	1922	1767
521	1926	1763
522	1929	1759
523	1932	1755
524	1935	1751
525	1939	1747
526	1943	1744
527	1947	1740
528	1951	1737
529	1954	1733
530	1957	1729
531	1960	1725
532	1965	1721
533	1968	1717
534	1971	1713
535	1974	1709
536	1977	1705
537	1980	1701
538	1984	1696
539	1987	1692
540	1990	1688
541	1993	1684
542	1996	1680
543	1999	1676
544	2002	1671
545	2005	1667
546	2009	1663
547	2012	1659
548	2016	1656
549	2020	1652
550	2023	1649
551	2028	1646
552	2031	1642
553	2035	1638
554	2038	1634
555	2042	1630
556	2045	1626
557	2048	1622
558	2051	1618
559	2054	1614
560	2057	1610
561	2060	1606
562	2064	1602
563	2067	1597
564	2070	1594
565	2074	1590
566	2077	1586
567	2080	1582
568	2083	1578
569	2087	1574
570	2090	1570
571	2093	1566
572	2097	1562
573	2100	1558
574	2103	1554
575	2106	1550
576	2109	1546
577	2112	1542
578	2116	1538
579	2119	1534
580	2122	1530
581	2125	1526
582	2128	1522
583	2131	1518
584	2134	1514
585	2138	1510
586	2141	1506
587	2144	1502
588	2147	1498
589	2150	1494
590	2153	1490
591	2156	1486
592	2159	1482
593	2162	1478
594	2165	1474
595	2168	1470
596	2172	1466
597	2175	1462
598	2178	1458
599	2181	1454
600	2184	1450
601	2187	1446
602	2190	1442
603	2194	1438
604	2197	1434
605	2200	1430
606	2203	1426
607	2206	1422
608	2209	1418
609	2212	1414
610	2215	1410
611	2219	1406
612	2222	1403
613	2225	1399
614	2228	1395
615	2231	1391
616	2234	1387
617	2238	1383
618	2241	1379
619	2244	1375
620	2247	1371
621	2250	1367
622	2253	1363
623	2257	1360
624	2260	1356
625	2263	1352
626	2267	1348
627	2272	1346
628	2276	1342
629	2279	1338
630	2282	1334
631	2286	1331
632	2289	1327
633	2292	1323
634	2295	1319
635	2299	1315
636	2302	1312
637	2305	1308
638	2309	1304
639	2312	1300
640	2315	1296
641	2319	1293
642	2322	1289
643	2325	1285
644	2329	1281
645	2332	1278
646	2335	1274
647	2339	1270
648	2342	1266
649	2345	1262
650	2348	1259
651	2351	1255
652	2355	1251
653	2358	1247
654	2361	1243
655	2364	1240
656	2368	1236
657	2371	1232
658	2374	1228
659	2377	1224
660	2380	1221
661	2384	1217
662	2387	1213
663	2390	1209
664	2393	1205
665	2397	1202
666	2400	1198
667	2403	1194
668	2407	1190
669	2410	1187
670	2413	1183
671	2416	1179
672	2419	1175
673	2422	1171
674	2425	1167
675	2429	1164
676	2432	1160
677	2435	1156
678	2438	1152
679	2441	1149
680	2445	1145
681	2448	1141
682	2451	1137
683	2455	1134
684	2458	1130
685	2461	1126
686	2465	1123
687	2469	1119
688	2472	1116
689	2476	1112
690	2479	1108
691	2482	1105
692	2486	1101
693	2489	1097
694	2492	1093
695	2495	1090
696	2499	1086
697	2502	1082
698	2505	1078
699	2508	1075
700	2512	1071
701	2515	1067
702	2518	1063
703	2521	1060
704	2525	1056
705	2528	1052
706	2531	1049
707	2534	1045
708	2537	1041
709	2541	1037
710	2544	1034
711	2547	1030
712	2550	1026
713	2553	1023
714	2557	1019
715	2560	1015
716	2563	1011
717	2566	1008
718	2569	1004
719	2573	1000
720	2576	996
721	2579	993
722	2583	989
723	2586	986
724	2589	982
725	2592	978
726	2596	974
727	2599	971
728	2602	967
729	2605	963
730	2608	960
731	2612	956
732	2615	952
733	2618	948
734	2621	945
735	2624	941
736	2627	937
737	2631	934
738	2634	930
739	2637	926
740	2640	922
741	2643	919
742	2646	915
743	2649	911
744	2652	907
745	2655	904
746	2658	900
747	2661	896
748	2665	893
749	2668	889
750	2671	885
751	2674	882
752	2678	878
753	2681	874
754	2684	871
755	2687	867
756	2690	863
757	2694	860
758	2697	856
759	2700	852
760	2703	849
761	2712	847
762	2718	844
763	2724	841
764	2729	838
765	2732	834
766	2736	831
767	2740	827
768	2743	824
769	2746	820
770	2749	816
771	2752	813
772	2756	809
773	2759	805
774	2762	802
775	2766	798
776	2769	794
777	2773	791
778	2776	787
779	2779	783
780	2782	780
781	2785	776
782	2789	772
783	2792	769
784	2795	765
785	2798	761
786	2801	758
787	2805	754
788	2808	751
789	2811	747
790	2814	743
791	2818	740
792	2821	736
793	2824	732
794	2827	729
795	2831	725
796	2834	721
797	2838	718
798	2841	714
799	2844	711
800	2847	707
801	2850	703
802	2854	700
803	2857	696
804	2860	692
805	2863	689
806	2866	685
807	2869	681
808	2872	678
809	2875	674
810	2879	671
811	2882	667
812	2885	663
813	2888	660
814	2891	656
815	2895	652
816	2898	649
817	2901	645
818	2904	641
819	2907	638
820	2910	634
821	2914	631
822	2917	627
823	2920	623
824	2923	620
825	2926	616
826	2929	612
827	2932	609
828	2935	605
829	2939	601
830	2942	598
831	2945	594
832	2948	591
833	2951	587
834	2954	583
835	2957	580
836	2960	576
837	2963	572
838	2966	569
839	2969	565
840	2973	562
841	2976	558
842	2979	554
843	2982	551
844	2985	547
845	2988	544
846	2991	540
847	2994	536
848	2997	533
849	3001	529
850	3004	526
851	3007	522
852	3010	518
853	3013	515
854	3016	511
855	3019	508
856	3023	504
857	3026	500
858	3029	497
859	3032	493
860	3035	490
861	3038	486
862	3041	482
863	3044	479
864	3048	475
865	3051	472
866	3054	468
867	3057	465
868	3061	461
869	3064	457
870	3067	454
871	3070	450
872	3073	447
873	3076	443
874	3079	439
875	3082	436
876	3086	432
877	3089	429
878	3092	425
879	3095	422
880	3098	418
881	3101	414
882	3104	411
883	3107	407
884	3111	404
885	3114	400
886	3117	397
887	3120	393
888	3123	390
889	3126	386
890	3129	382
891	3132	379
892	3135	375
893	3139	372
894	3142	368
895	3145	365
896	3148	361
897	3151	357
898	3154	354
899	3158	350
900	3161	347
901	3164	343
902	3167	340
903	3171	336
904	3174	333
905	3178	329
906	3181	326
907	3184	322
908	3187	319
909	3190	315
910	3193	312
911	3196	308
912	3199	304
913	3202	301
914	3205	297
915	3209	294
916	3212	290
917	3215	287
918	3218	283
919	3221	280
920	3224	276
921	3227	273
922	3231	269
923	3234	266
924	3237	262
925	3240	258
926	3244	255
927	3248	252
928	3251	248
929	3255	245
930	3258	241
931	3262	238
932	3265	234
933	3268	230
934	3271	227
935	3274	223
936	3278	220
937	3281	216
938	3284	213
939	3287	209
940	3290	206
941	3293	202
942	3296	199
943	3299	195
944	3303	192
945	3306	188
946	3309	185
947	3312	181
948	3316	178
949	3319	174
950	3322	171
951	3325	167
952	3328	164
953	3332	160
954	3335	157
955	3338	153
956	3341	150
957	3344	146
958	3347	143
959	3351	139
960	3354	136
961	3357	132
962	3361	129
963	3364	125
964	3367	122
965	3370	118
966	3374	115
967	3377	111
968	3380	108
969	3383	104
970	3386	101
971	3390	97
972	3393	94
973	3396	90
974	3399	87
975	3402	83
976	3406	80
977	3409	76
978	3412	73
979	3415	69
980	3419	66
981	3423	62
982	3426	59
983	3429	55
984	3432	52
985	3437	48
986	3440	45
987	3443	41
988	3446	38
989	3450	34
990	3453	31
991	3456	27
992	3460	24
993	3463	20
994	3466	17
995	3470	13
996	3473	10
997	3476	6
998	3479	3
999	3482	0
